"Id","State","Suppressed","Clone Type","Left Path","Left Line","Left End Line","Left Length","Left Weight","Right Path","Right Line","Right End Line","Right Length","Right Weight","Justification"
"A00048_CRYPTO_A00048-381:CL49","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/hash_function_container.h","1","64","64","60","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/x509/x509_data_storage/x509publickeyinfo_container.h","1","64","64","60",""
"A00048_CRYPTO_A00048-381:CL50","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/key_derivation_function_container.h","1","65","65","60","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/signer_private_container.h","1","64","64","60",""
"A00048_CRYPTO_A00048-381:CL51","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/key_derivation_function_container.h","1","65","65","60","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/x509/x509_data_storage/x509dn_container.h","1","64","64","60",""
"A00048_CRYPTO_A00048-381:CL52","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/key_derivation_function_container.h","1","65","65","60","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/x509/x509_data_storage/x509publickeyinfo_container.h","1","64","64","60",""
"A00048_CRYPTO_A00048-381:CL53","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/signer_private_container.h","1","64","64","60","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/x509/x509_data_storage/x509dn_container.h","1","64","64","60",""
"A00048_CRYPTO_A00048-381:CL54","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryp-context-container/signer_private_container.h","1","64","64","60","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/x509/x509_data_storage/x509publickeyinfo_container.h","1","64","64","60",""
"A00048_CRYPTO_A00048-381:CL55","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/block_service_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/crypto_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL56","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/block_service_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/digest_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL57","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/block_service_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/extension_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL58","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/block_service_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/signature_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL59","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/crypto_service_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/digest_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL60","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/crypto_service_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/extension_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL61","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/crypto_service_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/signature_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL62","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/digest_service_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/extension_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL63","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/digest_service_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/signature_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL64","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/extension_service_container.h","1","64","64","61","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/crypto-provider/cryservice-container/signature_service_container.h","1","64","64","61",""
"A00048_CRYPTO_A00048-381:CL65","added","false","2","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/x509/x509_data_storage/x509dn_container.h","1","64","64","60","avin-ap/crypto/source/ara-crypto/core/ipc-core/inc/public/vsomeip/x509/x509_data_storage/x509publickeyinfo_container.h","1","64","64","60",""
"A00048_CRYPTO_A00048-381:CL66","added","false","2","avin-ap/crypto/source/crypto-provider/openssl/inc/public/decryptor_private_ctx_ssl_rsa.h","1","123","123","101","avin-ap/crypto/source/crypto-provider/openssl/inc/public/encryptor_public_ctx_ssl_rsa.h","1","121","121","101",""
"A00048_CRYPTO_A00048-381:CL67","added","false","2","avin-ap/crypto/source/crypto-provider/openssl/inc/public/msg_recovery_public_ctx_default_ssl.h","41","120","80","62","avin-ap/crypto/source/crypto-provider/openssl/inc/public/sig_encode_private_ctx_default_ssl.h","39","117","79","62",""
